["CCCN(C(C(NC1CCCCCC1)=O)c(cc1)ccc1Cl)C(CCl)=O", 0.212]
["CCC(C(NC1CCN(C)CC1)=O)Oc1cccc(Cl)c1", 0.212]
["CCC(C(NC1CC1)=O)Oc1cc(C(c(cc2)ccc2F)N(CC2)C(C3CCCC3)=O)c2cc1", 0.212]
["O=CN(CC1)CCN1C(C(NC1CCCCC1)=O)c(cc1)ccc1Cl", 0.211]
["O=C(c1ccc(-c2cc(C(F)(F)F)ccc2)s1)NC1CCCC1", 0.211]
["O=C(CCl)N(C(C(NC1CCCCC1)=O)c(cc1)ccc1Cl)C1CCCCC1", 0.211]
["O=C(CCCc1nnc(C(Nc2cccc(Cl)c2)=O)s1)NC1CC1", 0.211]
["O=C(CC1CCCC1)N(CC1)CCC1c1nnc(C(Nc2cccc(Cl)c2)=O)s1", 0.211]
["Cc1c(C(NC2CC2)=O)sc2nc(-c3cc(C)ccc3)c(NCCOC)n12", 0.211]
["Cc1c(-c2ccccc2)sc(C(NC2CCCC2)=O)c1", 0.211]
["COc(cc1)ccc1-c1nc(-c2ccc(C(NC3CCCC3)=O)s2)no1", 0.211]
["COc(cc1)cc2c1c(Cl)c(C(NC1CCCCC1)=O)s2", 0.211]
["CCc1c(C)sc(NC(c(n(C)nc2)c2Cl)=O)c1C(NC1CCCCC1)=O", 0.211]
["CCCN(C(C(NC1CCC(C)CC1)=O)c(cc1)ccc1Cl)C(CCl)=O", 0.211]
["CC(CC1)CCC1NC(C(c(cc1)ccc1Cl)N(C1CC1)C(CCl)=O)=O", 0.211]
["CC(C)NC(CC(CC1)CCN1C(c1nnc(C(Nc2cccc(Cl)c2)=O)s1)=O)=O", 0.211]
["CC(C)CC(C(NC1CCC(C)CC1)=O)NS(c(cc1)cc2c1nc(C)s2)(=O)=O", 0.211]
["CC(C(NCC1CCOCC1)=O)Oc1cccc(Cl)c1", 0.211]
["O=C(c1ccco1)Nc1c(C(NC2CCCC2)=O)c(CCC2)c2s1", 0.21]
["O=C(c1ccco1)Nc1c(C(NC2CC2)=O)c(CCCCCC2)c2s1", 0.21]
["O=C(c1cccc(Cl)c1)NCc1ccc(-c2nc(C3CC3)no2)s1", 0.21]
["O=C(c1ccc(-c2noc(-c3ccccc3)n2)s1)NC1CCCC1", 0.21]
["O=C(c1ccc(-c2cc(C(F)(F)F)ccc2)s1)NCC1CCCCCC1", 0.21]
["O=C(c1cc(CS(c2c-3ccc(Cl)c2)(=O)=O)c3s1)NC1CCCC1", 0.21]
["O=C(c(s1)ccc1Cl)NCC1OCCC1", 0.21]
["O=C(CCl)N(Cc1cccs1)C(C(NC1CCCC1)=O)c(cc1)ccc1Cl", 0.21]
["O=C(CCl)N(Cc1ccco1)C(C(NC1CCCC1)=O)c(cc1)ccc1Cl", 0.21]
["O=C(CCc1nnc(C(Nc2cccc(Cl)c2)=O)s1)NC1CCCC1", 0.21]
["Cc1cnc(C2CCOCC2)n1CC(C1)CN1C(CC1CCCC1)=O", 0.21]
["Cc1cc(C(Nc2c(C(NC3CC3)=O)c(CCCC3)c3s2)=O)no1", 0.21]
["Cc1c(C)sc(NC(c2ccnn2C)=O)c1C(NC1CCCCC1)=O", 0.21]
["Cc1c(C(NC2CC2)=O)sc(CC(Nc(cccc2)c2Cl)=O)n1", 0.21]
["Cc(c(C(NC1CCCCC1)=O)c1)nc(C=CN2Cc3ccccc3)c1C2=O", 0.21]
["COc(ccc(Cl)c1)c1N(C(N)=C(C(NC1CCCCC1)=O)S1)C1=S", 0.21]
["CCn(cc1)nc1C(Nc1c(C(NC2CC2)=O)c(-c2ccccc2)cs1)=O", 0.21]
["CCOC(c1c(NC(c2ccco2)=O)sc2c1CCCC2=O)=O", 0.21]
["CCC(C(NC1CCCC1)=O)Oc1ccccc1", 0.21]
["CC(c1ccncc1)NC(NC1CCCCC1)=O", 0.21]
["c1(c(sc(c1C)C)NC(=O)c1ccccc1)C(NC1CCCCC1)=O", 0.209]
["Oc(cc1)ccc1-c1cc(C(NC2CCCCC2)=O)no1", 0.209]
["O=C(c1ccc(Cn2ncc(Cl)c2)o1)NC1CCCC1", 0.209]
["O=C(CCl)N(C(C(NC1CCCCCC1)=O)c(cc1)ccc1Cl)C1CCCCC1", 0.209]
["O=C(CCl)N(C(C(NC1CCCCC1)=O)c(cc1)ccc1Cl)C1CCCCCC1", 0.209]
["O=C(C(Cc1ccccc1)NC(OCc1ccccc1)=O)Nc(cc1)ccc1C(NC1CCCCC1)=O", 0.209]
["Cc([nH]c(-c(cc1)ccc1Cl)c1)c1C(NC1CCCC1)=O", 0.209]
["COc(ccc(Cl)c1)c1C(NCc1ccc(-c2nc(C3CC3)no2)s1)=O", 0.209]
["COc(cc(cc1)Cl)c1C(NCc1ccc(-c2nc(C3CC3)no2)s1)=O", 0.209]
["CCc1ccc(C(Nc(cc2)cc(C(F)(F)F)c2Cl)=O)s1", 0.209]
["CCc1ccc(C(Nc(cc(cc2)Cl)c2OC)=O)s1", 0.209]
["CCc1c(C)sc(NC(c2ccncc2)=O)c1C(NC1CC1)=O", 0.209]
["CCCCN(C(C(NC1CCCC1)=O)c(cc1)ccc1Cl)C(CCl)=O", 0.209]
["CCC(N(CC1)CCN1C(C1CCCC1)C(Nc(cc1)ccc1Cl)=O)=O", 0.209]
["CCC(C(NC(CC1)CCN1C(C)C)=O)Oc1cccc(Cl)c1", 0.209]
["CC(C(NC1CCCC1)=O)Oc(cc(C)cc1)c1Cl", 0.209]
["C(N1CCN(c2cc(Cl)ccc2)CC1)(N[C@H](C(NC1CC1)=O)C)=O", 0.209]
["O=C(c1ccco1)NCc1ccc(-c2nc(C3CC3)no2)s1", 0.208]
["O=C(c1ccco1)NCC1CCCCC1", 0.208]
["O=C(c1ccc(-c2noc(-c3ccccc3)n2)s1)NC1CCCCC1", 0.208]
["O=C(c1c(NC(c2cnccc2)=O)sc2c1CCC2)NC1CC1", 0.208]
["O=C(Cc1csc(NC(Nc2cccc(Cl)c2)=O)n1)NC1CCCCC1", 0.208]
["O=C(CN(C(c1ccccc1)=NC=C1C(NC2CC2)=O)C1=O)Nc1cccc(Cl)c1", 0.208]
["O=C(CCC1CCCC1)Nc1cccc(Cl)c1", 0.208]
["O=C(CC1CCCC1)Nc(cc1)ccc1-c1cc(cc(cc2)Cl)c2[nH]1", 0.208]
["Cn1ncc(CC(C(NCc2ccccc2)=O)NC(CC2CCCC2)=O)c1O", 0.208]
["Cc1cc(cccc2)c2n1-c1ccc(C(NC2CCCCC2)=O)s1", 0.208]
["Cc1cc(C(Nc2c(C(NC3CC3)=O)c(CCCCCC3)c3s2)=O)no1", 0.208]
["COc(cc1)ccc1-c1nc(-c2ccc(C(NC3CC3)=O)s2)no1", 0.208]
["CCOc(cc1)ccc1N(C(N)=C(C(NC1CCCCC1)=O)S1)C1=S", 0.208]
["CCOC(c(s1)c(C)n2c1nc(-c1cccc(Cl)c1)c2NC1CCCCCC1)=O", 0.208]
["CCCC(C(NC1CC1)=O)n1c(cccc2)c2nc1Cc(ccc(Cl)c1)c1Cl", 0.208]
["CCC(c(cc1)ccc1Cl)NC(NC1CCCC1)=O", 0.208]
["CC(C)C(Nc1nc(cc(cc2)NC(CC3CCCC3)=O)c2s1)=O", 0.208]
["CC(C(Nc1c(C)sc(-c2noc(C3CC3)n2)c1)=O)NC(c1ccco1)=O", 0.208]
["CC(C(NCc(s1)ccc1S(N1CCC(C)CC1)(=O)=O)=O)Oc1cccc(Cl)c1", 0.208]
["CC(C(NC1CCC(C)CC1)=O)n(c(cc1)c2cc1Cl)nc2-c1ccccc1", 0.208]
["C(c1occc1)(NC1CCC(CC2CCC(NC(c3occc3)=O)CC2)CC1)=O", 0.208]
["O=C(c1noc(-c(cc2)cc(Cl)c2Cl)c1)NC1CCCC1", 0.207]
["O=C(c1ccco1)Nc1c(C(NC2CCCCC2)=O)c(CCC2)c2s1", 0.207]
["O=C(c1cc(CS(c2c-3ccc(Cl)c2)(=O)=O)c3s1)NC1CCCCCC1", 0.207]
["O=C(c1cc(CS(c2c-3ccc(Cl)c2)(=O)=O)c3s1)NC1CCCCC1", 0.207]
["O=C(c1c(NC(c2cnccc2)=O)sc2c1CCCC2)NC1CC1", 0.207]
["O=C(c(sc1c2ccc(Cl)c1)c2Cl)NC1CCCCC1", 0.207]
["O=C(Cn(c(cc1)c2cc1Cl)nc2-c1ccccc1)NC1CCCC1", 0.207]
["O=C(CSc1nc(cc(cc2)Cl)c2s1)NC1CCCC1", 0.207]
["O=C(CCl)N(Cc1cccs1)C(C(NC1CCCCCC1)=O)c(cc1)ccc1Cl", 0.207]
["O=C(CCl)N(Cc1ccco1)C(C(NC1CCCCCC1)=O)c(cc1)ccc1Cl", 0.207]
["O=C(CCl)N(Cc1ccco1)C(C(NC1CCCCC1)=O)c(cc1)ccc1Cl", 0.207]
["O=C(CCl)N(C(C(NC1CCCC1)=O)c(cc1)ccc1Cl)C1CC1", 0.207]
["O=C(CCC1CCCC1)Nc1nc(-c(cc2)ccc2Cl)cs1", 0.207]
["Cc1noc2nc(C3CC3)cc(C(Nc3cccc(Cl)c3)=O)c12", 0.207]
